date_file,County,Population,PCR_Positive_Tests,PCR_Positive_Percent,PCR_Total_Tests,Beds_Occupied_Total,Beds_Occupied_Percent,Beds_Available_Total,COVID_Total_Admissions,COVID_Susp_Admissions,COVID_Conf_Admissions
2021-01-02,"Broward County, FL",1952778,1475.3594285714285,0.131,78836,NA,NA,NA,NA,NA,NA
2021-01-02,"Duval County, FL",957755,412.5042857142857,0.145,19914,NA,NA,NA,NA,NA,NA
2021-01-02,"Palm Beach County, FL",1496770,511.01757142857144,0.121,29563,NA,NA,NA,NA,NA,NA
2021-01-03,"Miami-Dade County, FL",2716940,2329.2462857142855,0.142,114822,NA,NA,NA,NA,NA,NA
2021-01-03,"Broward County, FL",1952778,1218.3800000000003,0.14,60919,NA,NA,NA,NA,NA,NA
2021-01-03,"Palm Beach County, FL",1496770,410.6328571428572,0.13,22111,NA,NA,NA,NA,NA,NA
2021-01-03,"Duval County, FL",957755,348.03342857142854,0.151,16134,NA,NA,NA,NA,NA,NA
2021-01-04,"Miami-Dade County, FL",2716940,3044.5814285714287,0.142,150085,NA,NA,NA,NA,NA,NA
2021-01-04,"Broward County, FL",1952778,1632.5597142857146,0.138,82811,NA,NA,NA,NA,NA,NA
2021-01-04,"Duval County, FL",957755,498.40999999999997,0.154,22655,NA,NA,NA,NA,NA,NA
2021-01-04,"Palm Beach County, FL",1496770,629.7605714285713,0.124,35551,NA,NA,NA,NA,NA,NA
2021-01-05,"Miami-Dade County, FL",2716940,3031.9834285714282,0.141,150524,NA,NA,NA,NA,NA,NA
2021-01-05,"Broward County, FL",1952778,1656.6308571428574,0.138,84032,NA,NA,NA,NA,NA,NA
2021-01-05,"Duval County, FL",957755,510.18685714285715,0.156,22893,NA,NA,NA,NA,NA,NA
2021-01-05,"Palm Beach County, FL",1496770,634.2342857142856,0.12,36997,NA,NA,NA,NA,NA,NA
2021-01-06,"Miami-Dade County, FL",2716940,3025.78,0.14,151289,NA,NA,NA,NA,NA,NA
2021-01-06,"Broward County, FL",1952778,1699.5291428571431,0.138,86208,NA,NA,NA,NA,NA,NA
2021-01-06,"Duval County, FL",957755,543.0685714285714,0.158,24060,NA,NA,NA,NA,NA,NA
2021-01-06,"Palm Beach County, FL",1496770,660.9942857142858,0.12,38558,NA,NA,NA,NA,NA,NA
2021-01-07,"Miami-Dade County, FL",2716940,3149.013428571428,0.141,156334,NA,NA,NA,NA,NA,NA
2021-01-07,"Broward County, FL",1952778,1766.2928571428572,0.139,88950,NA,NA,NA,NA,NA,NA
2021-01-07,"Duval County, FL",957755,609,0.168,25375,NA,NA,NA,NA,NA,NA
2021-01-07,"Palm Beach County, FL",1496770,677.8194285714286,0.124,38264,NA,NA,NA,NA,NA,NA
2021-01-08,"Miami-Dade County, FL",2716940,3138.5639999999994,0.143,153636,710.521632653061,0.82,6065.428571428571,163.85714285714286,223,924
2021-01-08,"Broward County, FL",1952778,1515.775142857143,0.139,76334,498.7802040816327,0.79,4419.571428571428,116,147,665
2021-01-08,"Duval County, FL",957755,575.7392857142858,0.163,24725,355.7240816326531,0.72,3458.428571428572,83.42857142857143,110,474
2021-01-08,"Palm Beach County, FL",1496770,645.5891428571429,0.122,37042,393.83142857142866,0.77,3580.285714285715,82.71428571428571,80,499
2021-01-09,"Miami-Dade County, FL",2716940,3154.793142857143,0.144,153358,730.8514285714285,0.84,6090.428571428572,172.42857142857142,250,957
2021-01-09,"Broward County, FL",1952778,1418.3048571428571,0.138,71943,508.97959183673476,0.8,4453.571428571428,116.85714285714286,155,663
2021-01-09,"Duval County, FL",957755,639.1765714285714,0.174,25714,361.30530612244894,0.73,3464.571428571428,87.28571428571429,120,491
2021-01-09,"Palm Beach County, FL",1496770,666.5325714285715,0.128,36451,401.4930612244898,0.78,3603.142857142857,82.71428571428571,82,497
2021-01-10,"Miami-Dade County, FL",2716940,3164.875714285714,0.142,156015,741.980612244898,0.85,6110.428571428572,176.42857142857142,256,979
2021-01-10,"Broward County, FL",1952778,1519.4308571428573,0.136,78206,517.0500000000001,0.81,4468.333333333334,109.57142857142857,146,621
2021-01-10,"Duval County, FL",957755,626.592,0.168,26108,366.9040816326531,0.74,3470.714285714286,89.57142857142857,129,498
2021-01-10,"Palm Beach County, FL",1496770,717.4870000000001,0.131,38339,408.8330612244899,0.79,3622.571428571429,83.71428571428571,85,501
2021-01-11,"Miami-Dade County, FL",2716940,3443.582571428571,0.141,170958,742.8826530612243,0.85,6117.857142857142,175.14285714285714,255,971
2021-01-11,"Broward County, FL",1952778,1545.3262857142859,0.134,80726,517.7718367346939,0.81,4474.571428571428,121.71428571428571,162,690
2021-01-11,"Duval County, FL",957755,689.0811428571429,0.164,29412,367.5534693877552,0.74,3476.857142857143,89.85714285714286,123,506
2021-01-11,"Palm Beach County, FL",1496770,784.5515714285714,0.127,43243,410.73551020408166,0.79,3639.428571428572,83.28571428571429,84,499
2021-01-12,"Miami-Dade County, FL",2716940,3731.5200000000004,0.14,186576,742.9693877551019,0.85,6118.571428571428,176.28571428571428,246,988
2021-01-12,"Broward County, FL",1952778,1742.9078571428574,0.135,90373,517.8875510204082,0.81,4475.571428571428,119.71428571428571,164,674
2021-01-12,"Duval County, FL",957755,696.1701428571429,0.159,30649,368.20285714285717,0.74,3483,91,137,500
2021-01-12,"Palm Beach County, FL",1496770,801.0462857142857,0.123,45588,417.5673469387754,0.8,3653.714285714285,84,92,496
2021-01-13,"Miami-Dade County, FL",2716940,3783.3840000000005,0.136,194733,750.657142857143,0.86,6110.000000000001,175.71428571428572,248,982
2021-01-13,"Broward County, FL",1952778,1765.7528571428572,0.13,95079,519.4744897959183,0.81,4489.285714285714,117.85714285714286,163,662
2021-01-13,"Palm Beach County, FL",1496770,875.1234285714285,0.122,50212,417.8285714285715,0.8,3656,84.14285714285714,103,486
2021-01-13,"Duval County, FL",957755,719.1218571428572,0.153,32901,372.795918367347,0.75,3479.428571428572,88,132,484
2021-01-14,"Miami-Dade County, FL",2716940,3712.683428571429,0.136,191094,750.0604081632652,0.86,6105.142857142855,177.71428571428572,249,995
2021-01-14,"Broward County, FL",1952778,1876.402,0.134,98021,520.7142857142858,0.81,4500,117.42857142857143,152,670
2021-01-14,"Palm Beach County, FL",1496770,880.2321428571429,0.125,49293,418.33469387755105,0.8,3660.428571428571,85.57142857142857,98,501
2021-01-14,"Duval County, FL",957755,640.143,0.147,30483,372.41326530612247,0.75,3475.857142857143,87,133,476
2021-01-15,"Miami-Dade County, FL",2716940,3669.310142857143,0.137,187483,749.3583673469387,0.86,6099.428571428572,180.57142857142858,260,1004
2021-01-15,"Broward County, FL",1952778,1810.493142857143,0.134,94578,521.3259183673471,0.81,4505.285714285716,118.14285714285714,146,681
2021-01-15,"Palm Beach County, FL",1496770,814.7508571428572,0.122,46748,423.87795918367345,0.81,3663.142857142857,86,115,487
2021-01-15,"Duval County, FL",957755,604.4597142857144,0.138,30661,372.03061224489795,0.75,3472.285714285714,82.57142857142857,130,448
2021-01-16,"Miami-Dade County, FL",2716940,3589.360285714286,0.138,182069,748.5948979591834,0.86,6093.214285714284,173.14285714285714,242,970
2021-01-16,"Broward County, FL",1952778,1807.1365714285714,0.132,95833,520.8465306122451,0.81,4501.142857142859,116,136,676
2021-01-16,"Palm Beach County, FL",1496770,778.7608571428572,0.122,44683,423.8669387755102,0.81,3663.047619047619,83,116,465
2021-01-16,"Duval County, FL",957755,554.5157142857144,0.129,30090,371.64795918367344,0.75,3468.714285714286,82.14285714285714,130,445
2021-01-17,"Miami-Dade County, FL",2716940,3651.6968571428574,0.138,185231,748.372,0.86,6091.4,166.57142857142858,243,923
2021-01-17,"Broward County, FL",1952778,1815.1257142857144,0.134,94820,521.204693877551,0.81,4504.238095238095,102.42857142857143,120,597
2021-01-17,"Palm Beach County, FL",1496770,785.0617142857143,0.124,44318,424.22840816326533,0.81,3666.171428571429,78.42857142857143,116,433
2021-01-17,"Duval County, FL",957755,554.0042857142857,0.13,29831,371.265306122449,0.75,3465.142857142857,79.28571428571429,120,435
2021-01-18,"Miami-Dade County, FL",2716940,3584.6200000000003,0.14,179231,749.8673469387755,0.86,6103.571428571428,179.28571428571428,272,983
2021-01-18,"Broward County, FL",1952778,1809.482142857143,0.135,93825,521.7557142857144,0.81,4509,111.85714285714286,148,635
2021-01-18,"Palm Beach County, FL",1496770,748.4177142857143,0.122,42942,422.65469387755104,0.81,3652.571428571429,81,113,454
2021-01-18,"Duval County, FL",957755,522.8022857142857,0.131,27936,370.88265306122446,0.75,3461.571428571428,73.57142857142857,115,400
2021-01-19,"Miami-Dade County, FL",2716940,3685.256571428571,0.141,182956,741.5122448979591,0.85,6106.571428571428,179.85714285714286,292,967
2021-01-19,"Broward County, FL",1952778,1794.113,0.133,94427,522.0697959183674,0.81,4511.714285714285,112.71428571428571,146,643
2021-01-19,"Palm Beach County, FL",1496770,770.8737142857143,0.121,44596,417.4367346938776,0.8,3652.571428571429,77.85714285714286,104,441
2021-01-19,"Duval County, FL",957755,539.0424285714286,0.127,29711,370.5,0.75,3458,68.85714285714286,105,377
2021-01-20,"Miami-Dade County, FL",2716940,3714.2824285714282,0.141,184397,742.4027210884354,0.85,6113.904761904763,173.42857142857142,291,923
2021-01-20,"Broward County, FL",1952778,1808.0935714285715,0.135,93753,514.6285714285716,0.8,4503.000000000001,112.57142857142857,159,629
2021-01-20,"Palm Beach County, FL",1496770,781.8511428571428,0.118,46381,416.8108843537415,0.8,3647.095238095238,75.42857142857143,98,430
2021-01-20,"Duval County, FL",957755,511.62857142857143,0.12,29845,365.56,0.74,3458,70,104,386
2021-01-21,"Miami-Dade County, FL",2716940,3608.339428571428,0.143,176632,742.2720408163266,0.85,6112.828571428572,165.71428571428572,290,870
2021-01-21,"Broward County, FL",1952778,1728.4050000000002,0.135,89621,515.3306122448979,0.8,4509.142857142857,111.85714285714286,164,619
2021-01-21,"Palm Beach County, FL",1496770,804.4902857142857,0.123,45784,415.57877551020414,0.8,3636.314285714286,71.71428571428571,97,405
2021-01-21,"Duval County, FL",957755,491.623,0.119,28919,360.62,0.73,3458,68.57142857142857,108,372
2021-01-22,"Miami-Dade County, FL",2716940,3483.381714285714,0.142,171716,739.8469387755102,0.85,6092.857142857143,171.71428571428572,295,907
2021-01-22,"Broward County, FL",1952778,1730.5222857142858,0.136,89071,515.934693877551,0.8,4514.428571428572,114.57142857142857,171,631
2021-01-22,"Palm Beach County, FL",1496770,779.5277142857142,0.122,44727,410.3324489795919,0.79,3635.857142857143,76.42857142857143,86,449
2021-01-22,"Duval County, FL",957755,439.92428571428576,0.115,26778,360.62,0.73,3458,69.57142857142857,119,368
2021-01-23,"Miami-Dade County, FL",2716940,3673.6349999999998,0.147,174935,735.961224489796,0.85,6060.857142857143,169.14285714285714,316,868
2021-01-23,"Broward County, FL",1952778,1608.791,0.137,82201,517.5510204081633,0.8,4528.571428571428,118.28571428571429,172,656
2021-01-23,"Palm Beach County, FL",1496770,732.2742857142857,0.118,43440,410.17122448979586,0.79,3634.428571428571,77.85714285714286,86,459
2021-01-23,"Duval County, FL",957755,470.03299999999996,0.119,27649,360.62,0.73,3458,66.28571428571429,107,357
2021-01-24,"Miami-Dade County, FL",2716940,3578.2305714285712,0.146,171559,735.7877551020408,0.85,6059.428571428572,165.85714285714286,300,861
2021-01-24,"Broward County, FL",1952778,1479.195,0.135,76699,518.5251700680274,0.8,4537.095238095239,109,156,607
2021-01-24,"Palm Beach County, FL",1496770,703.4040000000001,0.117,42084,409.68755102040814,0.79,3630.142857142857,77,83,456
2021-01-24,"Duval County, FL",957755,443.1291428571429,0.117,26512,360.62,0.73,3458,67,110,359
2021-01-25,"Miami-Dade County, FL",2716940,3554.8369999999995,0.143,174013,735.7877551020408,0.85,6059.428571428572,165.85714285714286,300,861
2021-01-25,"Broward County, FL",1952778,1400.7085714285715,0.132,74280,518.5251700680274,0.8,4537.095238095239,109,156,607
2021-01-25,"Palm Beach County, FL",1496770,706.8557142857143,0.115,43026,409.68755102040814,0.79,3630.142857142857,77,83,456
2021-01-25,"Duval County, FL",957755,428.11885714285717,0.114,26288,360.62,0.73,3458,69.57142857142857,110,377
2021-01-26,"Miami-Dade County, FL",2716940,3437.075571428572,0.137,175617,735.4234693877551,0.85,6056.428571428572,163.14285714285714,294,848
2021-01-26,"Broward County, FL",1952778,1340.6714285714286,0.13,72190,517.7306122448982,0.8,4530.142857142859,118.14285714285714,153,674
2021-01-26,"Palm Beach County, FL",1496770,692.032,0.112,43252,409.7359183673469,0.79,3630.571428571428,79.57142857142857,83,474
2021-01-26,"Duval County, FL",957755,397.14214285714286,0.111,25045,355.67999999999995,0.72,3458,69.57142857142857,109,378
2021-01-27,"Miami-Dade County, FL",2716940,3450.251142857143,0.134,180237,735.5969387755102,0.85,6057.857142857143,160.28571428571428,286,836
2021-01-27,"Broward County, FL",1952778,1392.9788571428574,0.129,75588,518.465306122449,0.8,4536.571428571428,118.85714285714286,154,678
2021-01-27,"Palm Beach County, FL",1496770,735.3232857142857,0.113,45551,409.44571428571436,0.79,3628,80,87,473
2021-01-27,"Duval County, FL",957755,401.7272857142857,0.109,25799,355.67999999999995,0.72,3458,69.57142857142857,113,374
2021-01-28,"Miami-Dade County, FL",2716940,3344.9365714285714,0.132,177383,743.3032653061224,0.86,6050.142857142857,161,275,852
2021-01-28,"Broward County, FL",1952778,1375.9014285714286,0.13,74087,519.1999999999999,0.8,4542.999999999999,120.28571428571429,146,696
2021-01-28,"Palm Beach County, FL",1496770,763.2221428571429,0.115,46457,414.41632653061225,0.8,3626.142857142857,76.71428571428571,84,453
2021-01-28,"Duval County, FL",957755,382.395,0.105,25493,355.67999999999995,0.72,3458,71.85714285714286,115,388
2021-01-29,"Miami-Dade County, FL",2716940,3205.8148571428574,0.128,175318,743.3910204081633,0.86,6050.857142857143,159.85714285714286,280,839
2021-01-29,"Broward County, FL",1952778,1327.3965714285714,0.128,72592,520.0489795918368,0.8,4550.428571428572,121.71428571428571,147,705
